"Type_MRG_PA","gmw1996_ha","gmw2016_ha","gmw2020_ha","max_extent_ha","loss_since1996_ha","gain_f2016t2020_ha"
"Estuary_8580_8456_2849",6.01261220734029,6.06364214151704,5.86284651146508,7.1897510961729,1.32690458470783,0.0575388597249985
"OpenCoast_62739_8456_2850",157.020328159595,150.222246105282,151.348111068413,169.648827987137,18.3007169187233,1.99979978570826
"Estuary_8542_8456_2851",1.76521204244052,1.54722686219106,1.76521466353593,1.92871669989843,0.163502036362503,0.0544983132570982
"OpenCoast_62691_8456_2851",54.8975427145473,53.1786434012455,49.7777159955104,56.4805930174427,6.70287702193235,0.192104627977312
"OpenCoast_62739_8456_2851",100.010796224723,96.3540735473515,97.5604599874407,106.313093481876,8.75263349443503,0.603328198076785
"OpenCoast_62710_8456_2854",35.1166547884276,34.8474254605972,35.0261691460658,36.9588777277797,1.93270858171393,0.377848690965772
"OpenCoast_64353_8453_555655650",0.21571675051514,0.21571675051514,0.21571675051514,0.215727846005652,1.10954905121197e-05,0
"OpenCoast_60286_8323_357727",13.1959817434156,8.23773014467035,7.76230638967741,13.7136384193306,5.95133202965323,0
"Estuary_706_8323_313778",1.48478656722076,0.349230197649594,0.393407027425802,1.57513278566296,1.18172575823716,0.0577419028060511
"Estuary_141_8323_23645",3.11301514663889,4.08802199869326,3.64141263763778,4.35081622922574,0.709403591587957,0
"Estuary_30007_8323_126767",10311.9612890228,7929.24967957549,8483.46053453257,10740.4799705811,2257.01943604853,276.690140288917
"Estuary_982_8323_126767",21118.8120707209,15619.9641406709,16945.6764792905,21943.7755454669,4998.09906617643,520.557829372485
"Lagoon_1760_8478_4491",0.144605901481211,0.0968712993206456,0.0968712993206456,0.144609197078273,0.0477378977576271,0
"OpenCoast_62560_8453_99994",6.38930609222924,6.3328228681681,6.3328228681681,6.38942625984519,0.0566033916770889,0
"OpenCoast_62339_33179_555655567",7.44262238168858,6.60327489819926,7.51032851029177,9.50630219792072,1.99597368762895,1.05189847179239
"OpenCoast_60136_8323_63908",29.987976668053,26.3713646218268,29.2447410731201,33.8548358810761,4.61009480795601,0.165239478845894
"OpenCoast_60172_8323_63908",14.4571127928634,14.245310550609,14.0122268705088,16.7512884027226,2.73906153221374,0
"Estuary_56_8455_303980",7.58834203294846,7.63301837632316,7.4868766416959,7.63743910119736,0.150562459501462,0
"Lagoon_134_8323_2410",403.427727893649,439.538581293008,397.20542856497,483.816805069396,86.6113765044262,7.90936691337859
"OpenCoast_62433_33179_888837",183.158020406554,182.273041041376,184.23118080551,187.506583118202,3.27540231269182,1.15498292768002
"Lagoon_220_8323_23677",58.0793866809884,59.3532153244591,59.4098482852531,60.3724715890338,0.962623303780603,0.110319568489864
"Lagoon_20084_8464_48",166.380437043364,164.028690305399,163.56577226096,167.316970362191,3.7511981012303,0.176130320671201
"Lagoon_8440_8456_13793",2468.38588940174,2465.58492690995,2431.25231124039,2542.23193175186,110.979620511463,1.8431472251751
"OpenCoast_62339_33179_302295",53.4922029808503,52.1548802392168,53.1483954162924,59.302635489998,6.15424007370564,1.51204455068409
"OpenCoast_40023_8337_1342",6.98320063303723,6.98320063303723,6.98320063303723,6.98326066680194,6.0033764710532e-05,0
"OpenCoast_40096_8337_1342",1.29608219145784,1.29608219145784,1.29608219145784,1.29609839307154,1.62016136966425e-05,0
"Estuary_9_8323_354734",5.95374168371134,6.00166885274522,6.00166885274522,6.00172239300758,5.3540262354268e-05,0
"Estuary_9_8323_354735",9.94715685472342,9.98645320641618,9.21927337700332,10.1303247256033,0.911051348599994,0
"Estuary_10_8323_356589",1.58352038288006,1.63162342816863,1.23139702559824,1.63164138823744,0.400244362639191,0
"OpenCoast_61531_8464_2219",16245.0153796853,12043.9212769283,11230.3253206718,16596.9390203626,5366.61369969078,27.3988853236305
"Lagoon_10083_8455_26643",32.0945261651083,26.9561194604271,22.3431938718801,38.0989981717566,15.7558042998765,0.722057501912117
"OpenCoast_61209_8492_8113",894.554694894744,890.830025065034,893.86766179453,899.545916763516,5.67825496898627,0.493749489310975
"OpenCoast_61225_8492_8113",2994.75542900079,2987.43486302088,2988.09197085865,3037.21388868561,49.1219178269594,15.5078022859853
"OpenCoast_60072_8323_126763",1.55244698524933,1.30733971267813,1.16568438259703,1.90712663178965,0.741442249192622,0.110566608935595
"Estuary_6811_8464_555599932",1.8150658552225,1.8150658552225,1.76006272001443,1.81509270348996,0.0550299834755317,0
"Estuary_6811_8464_18738",3446.05856143157,3430.15663891157,3429.55756989097,3557.30589039515,127.748320504174,50.1307219581333
"Estuary_56_8455_304008",196.486503879268,195.608414946081,192.720326565482,232.515115312132,39.7947887466492,6.79508172733933
"Estuary_141_8323_1151",1.35611260358267,1.34140444665872,1.34140444665872,1.35615350844016,0.0147490617814356,0
"OpenCoast_61699_8483_555705607",149.894576211798,150.163368808733,150.065012087055,150.817501889971,0.752489802915733,0.155967967845686
"Delta_50001_8483_9861",151.4373484945,154.574730738136,154.558422726911,155.2806427886,0.722220061689228,0.139102156753838
"OpenCoast_61745_8483_3413",0.00167330994769,0.00167330994769,0.00167330994769,0.00167330994769,0,0
"OpenCoast_61511_8483_3436",86.348878909727,83.8555221014017,85.1870211902313,88.0416947536634,2.85467356343213,0.966517118725181
"OpenCoast_61511_8483_3438",3.00284899996418,3.01854070640816,3.12595424060458,3.22294675154429,0.0969925109397032,0.0839112052265555
"OpenCoast_61511_8483_3442",250.95934853595,247.452402285522,250.245192492809,254.535189674332,4.28999718152309,0.855258808355033
